عدد التصاريح من نسك,نوع التصريح,الجنس,اليوم
141180,عمرة,ذكر,1444/9/25
97631,عمرة,أنثى,1444/9/19
17566,روضة نساء,أنثى,1444/8/15
18339,روضة رجال,ذكر,1444/10/11
154649,عمرة,ذكر,1444/9/26
16350,روضة نساء,أنثى,1444/8/28
10395,روضة نساء,أنثى,1444/9/28
18113,روضة رجال,ذكر,1444/12/3
30971,عمرة,أنثى,1444/10/6
53443,عمرة,ذكر,1444/10/6
12012,روضة رجال,ذكر,1444/10/25
25928,عمرة,أنثى,1444/10/10
14325,عمرة,أنثى,1444/10/11
18119,روضة رجال,ذكر,1444/11/26
17690,روضة نساء,أنثى,1444/10/10
17510,روضة نساء,أنثى,1444/8/5
18097,روضة رجال,ذكر,1444/12/30
18086,روضة رجال,ذكر,1444/12/22
18145,روضة نساء,أنثى,1444/12/25
15949,روضة نساء,أنثى,1444/11/12
17713,روضة نساء,أنثى,1444/11/29
18093,روضة رجال,ذكر,1444/12/17
21431,عمرة,ذكر,1444/10/24
17208,عمرة,أنثى,1444/10/26
34729,عمرة,ذكر,1444/10/9
9032,روضة نساء,أنثى,1444/10/24
10122,روضة رجال,ذكر,1444/1/1
25674,عمرة,أنثى,1444/1/28
11676,عمرة,أنثى,1444/2/23
12122,روضة رجال,ذكر,1444/2/13
31178,عمرة,أنثى,1444/1/21
12831,روضة رجال,ذكر,1444/4/17
6931,عمرة,ذكر,1444/1/18
9416,روضة نساء,أنثى,1444/2/2
13103,روضة رجال,ذكر,1444/3/18
18990,عمرة,ذكر,1444/10/19
76907,عمرة,ذكر,1444/10/29
16914,روضة رجال,ذكر,1444/11/25
10096,روضة نساء,أنثى,1444/10/30
573,عمرة,أنثى,1444/11/28
4626,روضة نساء,أنثى,1444/1/10
31151,عمرة,أنثى,1444/1/14
4521,روضة نساء,أنثى,1444/1/21
68274,عمرة,ذكر,1444/1/21
30220,عمرة,أنثى,1444/1/13
9997,روضة رجال,ذكر,1444/1/24
27892,عمرة,ذكر,1444/3/3
481,عمرة,أنثى,1444/11/20
12950,روضة رجال,ذكر,1444/1/7
10376,عمرة,أنثى,1444/2/17
462,عمرة,ذكر,1444/11/27
1359,عمرة,ذكر,1444/12/2
35609,عمرة,ذكر,1444/1/10
1143,عمرة,ذكر,1444/11/26
38267,عمرة,ذكر,1444/11/14
92,عمرة,ذكر,1444/12/14
34400,عمرة,ذكر,1444/1/2
35471,عمرة,ذكر,1444/11/7
105,عمرة,ذكر,1444/12/13
307,عمرة,ذكر,1444/11/23
16948,روضة نساء,أنثى,1444/12/11
32673,عمرة,ذكر,1444/1/1
9346,روضة رجال,ذكر,1444/12/11
7,روضة نساء,ذكر,1444/6/10
9,روضة نساء,ذكر,1444/5/2
28,روضة نساء,ذكر,1444/4/26
5,روضة نساء,ذكر,1444/5/25
29,روضة نساء,ذكر,1444/9/19
35,روضة نساء,ذكر,1444/9/27
26,روضة نساء,ذكر,1444/7/26
11,روضة نساء,ذكر,1444/9/24
6,روضة نساء,ذكر,1444/5/21
33,روضة نساء,ذكر,1444/5/7
2,روضة نساء,ذكر,1444/2/10
7,روضة نساء,ذكر,1444/6/26
13,روضة نساء,ذكر,1444/11/7
2,روضة نساء,ذكر,1444/7/2
7,روضة نساء,ذكر,1444/6/16
14,روضة نساء,ذكر,1444/5/23
3,روضة نساء,ذكر,1444/7/28
2,روضة نساء,ذكر,1444/11/5
12,روضة نساء,ذكر,1444/4/18
10,روضة نساء,ذكر,1444/6/12
5,روضة نساء,ذكر,1444/8/4
4,روضة نساء,ذكر,1444/4/30
4,روضة نساء,ذكر,1444/11/3
8,روضة نساء,ذكر,1444/9/10
2,روضة نساء,ذكر,1444/9/9
16,روضة نساء,ذكر,1444/8/3
2,روضة نساء,ذكر,1444/1/2
3,روضة نساء,ذكر,1444/2/26
1,روضة نساء,ذكر,1444/4/8
1,روضة نساء,ذكر,1444/2/12
1,روضة نساء,ذكر,1444/12/27
1,روضة رجال,أنثى,1444/1/26
1,روضة رجال,أنثى,1444/11/7
1,روضة رجال,أنثى,1444/5/20
1,روضة رجال,أنثى,1444/4/28
1,روضة رجال,أنثى,1444/2/26
1,روضة نساء,ذكر,1444/3/14
1,روضة رجال,أنثى,1444/4/15
1,روضة نساء,ذكر,1444/11/15
1,روضة رجال,أنثى,1444/6/22
2,روضة رجال,أنثى,1444/7/25
1,روضة رجال,أنثى,1444/7/21
10501,روضة رجال,ذكر,1444/2/12
5829,روضة نساء,أنثى,1444/2/13
9383,روضة رجال,ذكر,1444/2/4
10683,روضة نساء,أنثى,1444/3/15
10083,روضة رجال,ذكر,1444/2/18
12667,روضة رجال,ذكر,1444/2/25
11615,روضة رجال,ذكر,1444/3/16
12052,روضة رجال,ذكر,1444/1/22
11769,روضة نساء,أنثى,1444/3/21
15331,روضة نساء,أنثى,1444/4/11
22283,عمرة,أنثى,1444/2/27
10407,روضة نساء,أنثى,1444/2/24
12563,عمرة,ذكر,1444/3/9
12812,روضة رجال,ذكر,1444/4/24
20313,عمرة,أنثى,1444/4/6
18959,عمرة,ذكر,1444/4/7
12853,روضة نساء,أنثى,1444/4/17
55832,عمرة,ذكر,1444/2/13
14144,روضة رجال,ذكر,1444/4/14
31905,عمرة,أنثى,1444/2/26
8479,روضة نساء,أنثى,1444/2/10
19352,عمرة,أنثى,1444/4/8
18999,عمرة,ذكر,1444/4/19
23952,عمرة,ذكر,1444/4/12
10051,روضة رجال,ذكر,1444/2/23
11774,روضة رجال,ذكر,1444/3/22
10052,روضة نساء,أنثى,1444/1/26
22978,عمرة,أنثى,1444/4/23
